hostel.name,City,price.from,Distance,summary.score,rating.band,atmosphere,cleanliness,facilities,location.y,security,staff,valueformoney,lon,lat
Shin-Osaka Tomato Guest House,Osaka,1500,1.9km from city centre,9,Superb,7.4,9.6,9.1,8.4,9.3,9.6,9.4,135.495927,34.722974
Shin-Osaka Youth Hostel,Osaka,3200,2.8km from city centre,8.9,Fabulous,7,10,9,9,10,8,9,135.5037061,34.7321448
Hostel moku-moku,Osaka,3500,4km from city centre,9.6,Superb,9,10,10,9.5,10,9.5,9.5,135.516458,34.74071
Guesthouse SAI,Osaka,1800,7km from city centre,8.9,Fabulous,7.6,10,9.6,7.6,9.2,9.2,9.2,135.5661389,34.7412826
Music Uni Street Backpackers Hostel,Osaka,3000,6km from city centre,8.9,Fabulous,9,9,9,8,8,10,9,135.4673702,34.7519746
Goen Lounge＆Stay,Osaka,2000,18.2km from city centre,8.9,Fabulous,8,10,10,6,8,10,10,135.6505111,34.815565
Chaganjutei,Kyoto,3300,14.1km from city centre,9.6,Superb,10,10,9,9,9,10,10,135.8007905,34.8876476
Kyoto Tsukiusagi,Kyoto,3000,8.7km from city centre,7.9,Very Good,6.5,9.5,8,7,9,8,7.5,135.805378,34.940169
Guesthouse Shitamachi-Kujo,Kyoto,1900,3.9km from city centre,9.1,Superb,10,10,8,8,10,10,8,135.762166,34.977079
Kyoto Be Open Hostel,Kyoto,3400,3.8km from city centre,9,Superb,8.7,9.3,8.7,9.3,8.7,9.3,9.3,135.764191,34.977498
Kyoto Station Base,Kyoto,2500,3.7km from city centre,8.9,Fabulous,8.7,9.3,8.7,8,8.7,10,8.7,135.761469,34.9788089
THE NEXT DOOR lower east nine hostel,Kyoto,3000,4km from city centre,9.5,Superb,8.6,9.7,9.9,9,9.6,9.8,9.7,135.7500613,34.9791577
The Lower East Nine Hostel,Kyoto,3000,3.7km from city centre,9.4,Superb,8.8,9.8,9.6,8.9,9.7,9.6,9.2,135.7600257,34.9793866
J-Hoppers Kyoto Guest House,Kyoto,1900,3.6km from city centre,9,Superb,8.4,9.1,8.3,8.9,9.4,9.7,9.3,135.761616,34.979439
Sparkling Dolphins Inn Kyoto,Kyoto,3000,3.6km from city centre,6.2,Good,5.3,6.7,5.7,7,5.7,7,6,135.7628498,34.9797912
Mosaic Hostel Kyoto,Kyoto,2500,3.7km from city centre,9.6,Superb,9.5,9.7,9.7,9.3,9.7,9.7,9.5,135.7552361,34.9803659
Piece Hostel Kyoto,Kyoto,2700,3.2km from city centre,9.7,Superb,9.2,9.9,9.8,9.8,9.9,9.9,9.6,135.7621209,34.9836157
Tomato Kyoto Station,Kyoto,1500,3.1km from city centre,8.3,Fabulous,8.3,8.3,8,7.3,8.3,9.3,8.7,135.751832,34.986881
HARUYA Hostels Aqua,Kyoto,1500,3.1km from city centre,9,Superb,9,9,9,9,9,9,9,135.748695,34.988516
Tanaka Gokurakudo Guest House,Kyoto,2000,2.7km from city centre,8.7,Fabulous,8.2,9.1,8,9.3,8.7,8.9,8.4,135.7583091,34.98891
Kyoto Hana Hostel,Kyoto,1800,2.5km from city centre,8.9,Fabulous,8.1,9.1,8.3,9.8,8.7,9.2,8.8,135.760508,34.9897078
Backpackers Hostel K's House Kyoto,Kyoto,1800,2.4km from city centre,9.2,Superb,9,9.3,9.2,9.1,9.5,9.4,9.1,135.764916,34.989791
Guest House Kyoto Inn,Kyoto,1500,3.3km from city centre,8.9,Fabulous,8.7,9.4,9,8.1,8.6,9.4,8.9,135.743165,34.990043
Guest House Hachi,Kyoto,3200,3.2km from city centre,10,Superb,10,10,10,10,10,10,10,135.7435285,34.9915805
Guesthouse Soi,Kyoto,1700,2.4km from city centre,9.5,Superb,9.4,9.6,9.6,8.8,9.4,9.8,9.8,135.7776103,34.9917216
Okara Guesthouse,Kyoto,1900,2.4km from city centre,9.4,Superb,9.2,9.8,9.4,9.2,9.4,9.4,9.4,135.7550308,34.9925923
Hostel Kyoto Kizuna,Kyoto,1800,2.1km from city centre,9.4,Superb,8.6,9.9,9.5,9.2,9.6,9.6,9.6,135.7626527,34.9936138
Ikoi-no-Ie Kyoto,Kyoto,2700,2.2km from city centre,8,Fabulous,6,8.8,8,8,9.2,8.4,7.6,135.757046,34.994033
Nagomi-Ryokan Yuu,Kyoto,3100,2.2km from city centre,5.1,Rating,6,6,2,8,6,2,6,135.755793,34.99419
